ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
159361.SZ,20260820,416100.0,1.248,519292.8,1.239,,0.0365309,
159360.SZ,20260820,200.0,1.315,263.0,1.313,,0.000459114,
159359.SZ,20260820,200.0,1.289,257.8,1.278,,0.000648131,
159358.SZ,20260820,200.0,1.317,263.4,1.317,,0.000199482,
159357.SZ,20260820,200.0,1.297,259.4,1.281,,0.000691926,
159356.SZ,20260820,200.0,1.307,261.4,1.292,,0.000580338,
159355.SZ,20260820,0.0,,0.0,1.038,,0.0,
159353.SZ,20260820,200.0,1.241,248.2,1.234,,0.000115962,
159352.SZ,20260820,737800.0,1.27,937006.0,1.26,,0.0267377,
159351.SZ,20260820,340700.0,1.217,414631.9,1.215,,0.081138,
159350.SZ,20260820,9900.0,1.576,15602.4,1.574,,0.0284955,
159339.SZ,20260820,1200.0,1.231,1477.2,1.224,,0.00155573,
159338.SZ,20260820,3025300.0,1.224,3702967.2,1.216,,0.104519,
159337.SZ,20260820,35400.0,1.811,64109.4,1.784,,0.275743,
159336.SZ,20260820,900.0,1.217,1095.3,1.214,,0.0161462,
159335.SZ,20260820,19400.0,1.51,29294.0,1.494,,1.38208,
159333.SZ,20260820,400.0,1.344,537.6,1.342,,0.0081279,
159332.SZ,20260820,0.0,,0.0,1.213,,0.0,
159331.SZ,20260820,0.0,,0.0,1.302,,0.0,
159330.SZ,20260820,188300.0,1.446,272281.8,1.438,,0.873883,
159329.SZ,20260820,240900.0,0.905,218014.5,0.903,,0.916948,
159328.SZ,20260820,0.0,,0.0,1.036,,0.0,
159327.SZ,20260820,1249800.0,1.195,1493511.0,1.18,,0.550418,
159367.SZ,20260820,37600.0,1.732,65123.2,1.725,,0.284461,
159369.SZ,20260820,34300.0,1.408,48294.4,1.404,,0.12202,
159325.SZ,20260820,208800.0,2.176,454348.8,2.153,,0.276576,
159370.SZ,20260820,200.0,1.829,365.8,1.824,,0.00575232,
159400.SZ,20260820,0.0,,0.0,101.185,,0.0,
159399.SZ,20260820,386800.0,1.004,388347.2,1.004,,0.248838,
159398.SZ,20260820,0.0,,0.0,102.512,,0.0,
159397.SZ,20260820,0.0,,0.0,103.155,,0.0,
159396.SZ,20260820,0.0,,0.0,103.361,,0.0,
159395.SZ,20260820,0.0,,0.0,103.53,,0.0,
159393.SZ,20260820,5200.0,4.966,25823.2,4.932,,0.0890523,
159392.SZ,20260820,4400.0,0.92,4048.0,0.92,,0.0855948,
159391.SZ,20260820,0.0,,0.0,1.096,,0.0,
159390.SZ,20260820,0.0,,0.0,1.246,,0.0,
159389.SZ,20260820,100.0,1.844,184.4,1.825,,0.00153311,
159388.SZ,20260820,260100.0,1.013,263481.3,1.001,,0.159817,
159387.SZ,20260820,5000.0,0.744,3720.0,0.741,,0.00139971,
159386.SZ,20260820,200.0,1.301,260.2,1.278,,0.0016802,
159385.SZ,20260820,100.0,1.823,182.3,1.801,,0.00236611,
159383.SZ,20260820,34200.0,1.717,58721.4,1.713,,0.541084,
159382.SZ,20260820,108800.0,2.627,285817.6,2.607,,0.106522,
159381.SZ,20260820,353900.0,1.173,415124.7,1.16,,0.0779103,
159380.SZ,20260820,43200.0,1.358,58665.6,1.356,,0.475997,
159379.SZ,20260820,200.0,1.376,275.2,1.353,,0.0069753,
159378.SZ,20260820,4000.0,0.994,3976.0,0.993,,0.0130813,
159377.SZ,20260820,311800.0,1.038,323648.4,1.0,,1.1886,
159376.SZ,20260820,0.0,,0.0,1.32,,0.0,
159375.SZ,20260820,2500.0,0.749,1872.5,0.735,,0.0114583,
159373.SZ,20260820,100.0,1.765,176.5,1.758,,0.000407295,
159372.SZ,20260820,0.0,,0.0,1.843,,0.0,
159371.SZ,20260820,1300.0,1.743,2265.9,1.727,,0.0227842,
159326.SZ,20260820,1402500.0,1.669,2340772.5,1.66,,0.278616,
159323.SZ,20260820,177800.0,1.064,189179.2,1.053,,0.115377,
159249.SZ,20260820,500.0,1.391,695.5,1.375,,0.0047402,
159285.SZ,20260820,24500.0,0.794,19453.0,0.785,,0.311318,
159281.SZ,20260820,3000.0,0.948,2844.0,0.947,,0.0136307,
159280.SZ,20260820,14100.0,0.728,10264.8,0.721,,0.199378,
159279.SZ,20260820,1400.0,1.401,1961.4,1.39,,0.0022459,
159278.SZ,20260820,931700.0,0.953,887910.1,0.949,,0.506845,
159277.SZ,20260820,3200.0,0.993,3177.6,0.993,,0.0748976,
159276.SZ,20260820,0.0,,0.0,1.095,,0.0,
159275.SZ,20260820,22000.0,0.837,18414.0,0.847,,0.191575,
159273.SZ,20260820,14800.0,1.41,20868.0,1.405,,0.0815176,
159272.SZ,20260820,568500.0,0.81,460485.0,0.808,,0.242134,
159271.SZ,20260820,20800.0,0.968,20134.4,0.962,,0.297116,
159270.SZ,20260820,100.0,1.106,110.6,1.102,,0.00107128,
159269.SZ,20260820,93500.0,0.879,82186.5,0.864,,0.0832719,
159268.SZ,20260820,100.0,0.787,78.7,0.786,,0.000554244,
159267.SZ,20260820,501100.0,0.838,419921.8,0.834,,0.391003,
159266.SZ,20260820,100.0,0.965,96.5,0.961,,0.0010063,
159265.SZ,20260820,2400.0,0.82,1968.0,0.816,,0.0231692,
159263.SZ,20260820,974100.0,1.149,1119240.9,1.15,,0.458052,
159262.SZ,20260820,845800.0,0.875,740075.0,0.862,,0.246941,
159261.SZ,20260820,7100.0,1.398,9925.8,1.398,,0.191009,
159260.SZ,20260820,34600.0,0.84,29064.0,0.839,,0.147628,
159259.SZ,20260820,1932400.0,1.34,2589416.0,1.322,,0.532253,
159258.SZ,20260820,37200.0,1.081,40213.2,1.081,,0.104011,
159257.SZ,20260820,100.0,0.836,83.6,0.833,,0.00120098,
159256.SZ,20260820,94000.0,0.817,76798.0,0.81,,0.0729905,
159255.SZ,20260820,0.0,,0.0,0.839,,0.0,
159253.SZ,20260820,167700.0,0.978,164010.6,0.99,,2.73267,
159251.SZ,20260820,24700.0,0.799,19735.3,0.786,,0.0899693,
159283.SZ,20260820,2800.0,0.846,2368.8,0.849,,0.0258682,
159286.SZ,20260820,1935800.0,0.767,1484758.6,0.742,,1.79339,
159322.SZ,20260820,103600.0,1.728,179020.8,1.661,,1.31149,
159287.SZ,20260820,500.0,1.117,558.5,1.112,,0.00679036,
159321.SZ,20260820,570000.0,1.655,943350.0,1.582,,1.72998,
159320.SZ,20260820,90100.0,0.628,56582.8,0.622,,0.091402,
159318.SZ,20260820,0.0,,0.0,1.319,,0.0,
159316.SZ,20260820,7392400.0,1.176,8693462.4,1.143,,0.921738,
159315.SZ,20260820,417500.0,1.762,735635.0,1.689,,3.01347,
