ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
000665.SZ,20260820,3.85,1.3886,2.1414,0.35,,,1.3717,2.8841,3.0348,,,113715.0,113712.0,73738.9,437803.0,437791.0,
603815.SH,20260820,5.21,0.8554,1.6463,0.73,,,2.0479,0.838,0.873,1.2344,,61892.4,61892.4,32160.7,322460.0,322460.0,
688159.SH,20260820,32.08,3.2881,4.6504,0.74,108.896,79.2953,3.1802,1.2378,1.4696,0.309,,9281.07,9281.07,6562.13,297737.0,297737.0,
688255.SH,20260820,25.5,2.183,3.9649,0.78,107.033,86.9448,2.6204,4.3116,4.0169,1.1213,0.5699,10985.9,10985.9,6048.73,280140.0,280140.0,
000592.SZ,20260820,6.14,7.9841,9.6523,0.82,,,6.6936,8.9861,9.3642,,,193178.0,191509.0,158412.0,1186110.0,1175870.0,
301622.SZ,20260820,40.53,1.6874,1.6874,0.95,35.7224,60.299,3.0231,3.2544,3.1585,0.9869,0.3701,11593.2,6465.94,6465.94,469872.0,262065.0,
300061.SZ,20260820,6.28,2.0799,2.3872,0.81,,,8.9251,10.0021,9.8184,,,65899.4,62217.0,54206.0,413848.0,390723.0,
600552.SH,20260820,18.05,5.7866,8.1823,0.76,132.512,128.449,3.9501,2.8997,2.8087,0.277,0.277,94460.7,94460.7,66803.4,1705020.0,1705020.0,
600694.SH,20260820,14.55,0.8192,1.3483,1.14,11.2341,11.0211,0.6026,0.8886,0.8813,5.7363,6.248,37879.4,37879.4,23014.7,551145.0,551145.0,
688171.SH,20260820,27.57,1.0508,1.9039,0.7,270.774,253.477,3.8975,23.1206,20.464,0.1078,0.1155,11685.1,11685.1,6449.13,322158.0,322158.0,
000032.SZ,20260820,14.44,2.6183,3.9121,0.66,,,2.3755,0.3569,0.3549,0.7782,0.1731,121518.0,121518.0,81328.8,1754720.0,1754720.0,
688047.SH,20260820,107.0,0.8817,1.8937,0.79,,,17.8884,67.536,66.4947,,,40100.0,40100.0,18670.7,4290700.0,4290700.0,
301372.SZ,20260820,30.33,3.6237,4.0747,1.06,,,2.8062,7.5278,7.3876,,,6857.14,4117.04,3661.4,207977.0,124870.0,
688001.SH,20260820,53.32,2.1968,9.0169,0.9,313.967,221.803,7.4046,11.2273,10.7541,,0.0973,47156.6,47156.6,11488.8,2514390.0,2514390.0,
002421.SZ,20260820,3.1,5.7615,6.628,0.38,,,2.4226,3.2468,3.0919,0.1613,,212058.0,203620.0,176999.0,657380.0,631222.0,
688757.SH,20260820,32.17,5.0152,5.6981,0.61,209.676,224.577,14.4896,24.5021,23.4466,0.6186,0.3482,40331.1,18122.0,15949.9,1297450.0,582986.0,
601568.SH,20260820,3.71,0.3564,0.898,1.1,136.072,359.507,1.2955,1.6488,1.6866,2.6954,1.3477,397222.0,397222.0,157648.0,1473690.0,1473690.0,
600671.SH,20260820,21.05,1.6607,2.9269,0.47,145.463,156.839,34.7244,12.1058,12.5752,,,12177.9,12177.1,6909.11,256345.0,256327.0,
300681.SZ,20260820,21.18,2.0463,2.1583,0.58,34.8962,27.9634,2.0974,1.6731,1.468,0.1184,0.2927,30605.5,23079.5,21881.8,648225.0,488823.0,
603166.SH,20260820,10.79,1.1882,3.0201,0.74,22.005,21.3314,2.5483,3.5043,3.4475,0.9139,1.8262,64565.1,64071.6,25208.2,696657.0,691332.0,
600775.SH,20260820,9.46,2.0637,3.1579,0.73,805.548,264.546,2.7788,3.4748,3.2296,,0.1057,91383.9,67183.9,43905.6,864491.0,635559.0,
002517.SZ,20260820,16.65,2.7508,3.0725,0.67,18.6863,16.4224,3.4355,6.6802,5.7435,0.6006,0.5963,213644.0,188909.0,169132.0,3557180.0,3145330.0,
300645.SZ,20260820,12.94,1.6825,2.3903,0.75,140.434,139.355,1.7472,1.397,1.3883,0.1509,0.1525,14210.7,13932.0,9806.86,183886.0,180281.0,
