ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002088.SZ,20260819,8.18,0.885,2.4921,0.65,97.1308,,1.6458,1.6795,1.7605,9.8506,3.6689,50944.0186,50596.4633,17967.5561,416722.0836,413879.0428
920117.BJ,20260819,31.37,23.5675,23.5675,0.63,23.8535,23.8535,4.188,4.4429,4.4429,,,8984.0012,2021.4003,2021.4003,281828.1176,63411.3274
600884.SH,20260819,11.68,2.4178,2.4618,0.89,57.2792,34.7028,1.1651,1.215,1.1835,,,224563.9258,183510.9746,180231.4069,2622906.5856,2143408.1296
601188.SH,20260819,2.8,1.2577,2.5353,1.25,21.7456,23.7347,0.8074,4.7452,4.6935,2.5357,1.8571,130546.9915,130546.9915,64759.1344,365531.572,365531.572
002943.SZ,20260819,32.73,5.5292,6.3441,0.84,663.9924,262.8807,10.0911,10.4642,11.1486,,,26683.5988,18885.222,16459.5635,873354.228,618113.2506
688359.SH,20260819,96.4,5.8016,9.422,1.37,,,15.2935,20.9876,19.6067,,,9968.0147,9968.0147,6137.8147,960916.164,960916.164
605196.SH,20260819,34.5,2.1719,3.3352,0.74,61.7043,57.1366,5.2067,2.3412,2.1692,0.1819,,51097.2181,50735.054,33039.954,1762853.745,1750359.225
301011.SZ,20260819,14.59,1.5283,2.8182,1.22,32.6381,47.8112,2.37,2.2597,2.3345,1.3019,1.0281,15445.7126,14669.6876,7955.4076,225352.9468,214030.7421
920247.BJ,20260819,14.41,1.8166,4.3456,1.35,62.6814,58.2953,5.6513,6.2103,5.7742,0.6406,0.6477,18905.2999,13714.3415,5733.0125,272425.3716,197623.661
300237.SZ,20260819,1.93,1.0064,1.3799,1.23,,,62.3301,1.5525,1.4893,,,144191.493,144190.143,105166.7751,278289.5757,278286.9702
300106.SZ,20260819,9.78,12.2335,21.0268,1.56,,,5.4856,2.2353,2.1116,,,21133.231,21133.231,12295.4139,206682.9894,206682.9894
301371.SZ,20260819,26.1,5.4299,5.4299,1.19,31.3741,26.4695,2.3139,7.1704,6.3422,4.4209,3.0651,52010.4,7797.53,7797.53,1357471.44,203515.533
601111.SH,20260819,5.81,0.4575,1.4241,1.1,,59.8994,2.7067,0.6943,0.6765,,,2049256.103,1163810.9474,373886.4707,11906177.9584,6761741.6044
603799.SH,20260819,39.55,3.9855,5.0273,1.2,12.256,10.8427,1.4721,0.9243,0.7535,1.1209,1.2664,189352.7517,188760.7197,149643.735,7488901.2625,7465486.476
300542.SZ,20260819,11.58,2.0627,3.0638,1.34,,,6.483,3.2195,3.1234,,,29855.9899,24758.1984,16668.623,345732.3642,286699.956
603045.SH,20260819,52.3,6.7534,8.807,1.29,65.5546,24.0744,5.654,1.406,1.186,0.1166,0.283,13544.5155,13544.5155,10386.1249,708378.396,708378.396
605287.SH,20260819,38.36,2.7094,4.9447,0.97,76.7813,89.5855,3.3962,1.5313,1.575,,0.1312,14000.0,14000.0,7670.9745,537040.0,537040.0
603506.SH,20260819,11.88,4.0042,10.339,2.34,22.4767,18.9896,1.8012,1.1979,1.1889,,1.7802,18777.7779,18777.7779,7272.4453,223080.0264,223080.0264
601136.SH,20260819,13.75,0.3483,1.9771,1.08,35.5767,34.1045,2.6568,14.8645,14.1208,1.4182,1.2218,273333.38,273333.38,48148.38,3758333.975,3758333.975
002817.SZ,20260819,6.53,1.7895,2.989,1.14,30.0544,30.7523,1.9983,4.242,4.4676,1.5008,1.317,29909.817,29003.9295,17364.823,195311.1246,189395.6629
002346.SZ,20260819,26.3,4.4153,11.9748,1.3,27.3005,41.6406,4.0135,13.7012,13.2917,1.7812,1.8064,44157.5416,39211.3475,14457.8324,1161343.302,1031258.505
605123.SH,20260819,77.82,4.0629,9.338,2.92,37.3632,36.0687,2.0236,2.6616,2.469,0.974,1.0023,12117.0892,12117.0892,5272.0892,942951.9438,942951.9438
688309.SH,20260819,73.47,2.837,4.9899,0.79,174.4796,54.9753,6.9482,19.747,12.1054,0.1198,0.2314,7940.1269,7940.1269,4514.4177,583361.3511,583361.3511
301327.SZ,20260819,42.73,0.5767,1.2357,1.09,434.3808,,1.223,1.7992,1.705,1.913,,17438.1356,17438.1356,8138.783,745131.7222,745131.7222
300795.SZ,20260819,15.1,22.9471,30.0816,0.82,33.0127,30.3275,7.1971,5.7508,5.5935,2.2006,1.7475,29889.387,17398.5161,13272.0876,451329.789,262717.652
301592.SZ,20260819,104.5,5.9046,5.9046,1.38,137.3853,128.4329,7.7904,16.1787,15.628,0.6699,0.0737,7000.0,2335.8424,2335.8424,731500.0,244095.28
002838.SZ,20260819,23.98,3.4287,7.0662,1.27,60.7294,43.5025,3.0527,1.8943,1.7688,0.526,0.4955,47839.8402,42063.1724,20409.832,1147199.3632,1008674.8166
688259.SH,20260819,30.31,1.2452,2.2627,1.06,42.8619,43.6403,2.1465,9.3572,9.8243,0.639,0.8193,11170.0,11170.0,6147.066,338562.7,338562.7
301005.SZ,20260819,83.85,15.1164,27.9017,2.15,968.8422,1086.2358,20.1613,17.9273,18.0378,0.0421,0.0426,18796.5415,18413.61,9975.9968,1576089.879,1543981.1985
002154.SZ,20260819,4.22,2.7639,3.6137,1.02,18.0203,14.1294,1.3151,1.1913,1.1389,1.1848,4.0284,145933.3729,118012.7141,90261.811,615838.8214,498013.6362
600380.SH,20260819,10.04,0.8033,1.5737,0.86,13.7529,13.9707,1.1766,1.2072,1.2371,1.992,2.1912,182945.3386,182945.3386,93379.9733,1836771.2136,1836771.2136
000544.SZ,20260819,7.24,0.3102,1.2523,1.07,6.5635,6.6349,0.75,1.2738,1.2692,3.5912,3.7293,97468.4488,97468.4488,24142.7944,705671.578,705671.578
600141.SH,20260819,31.43,3.5704,5.3477,1.09,25.3146,26.2645,1.5099,1.2891,1.2794,2.9209,1.5835,120173.9857,120173.9857,80233.912,3777068.5057,3777068.5057
600833.SH,20260819,10.69,5.8309,10.5918,0.43,41.297,31.2674,2.0182,1.1195,1.1298,2.058,0.7297,22308.6347,22308.6347,12281.1613,238479.2547,238479.2547
002292.SZ,20260819,7.87,3.2094,3.8503,0.85,161.9117,150.1767,3.914,4.7061,4.713,,,147869.9697,101788.3481,84845.136,1163736.6615,801074.2995
920876.BJ,20260819,16.08,3.8231,5.9805,1.16,157.9099,575.1712,4.0633,1.8701,1.9363,,0.3109,6418.0659,3924.8249,2509.0296,103202.4997,63111.1844
